date,daily_vaccinations,location,day,month,year
2021-01-15,0.0,India,15,1,2021
2021-01-16,191181.0,India,16,1,2021
2021-01-17,112150.0,India,17,1,2021
2021-01-18,151350.0,India,18,1,2021
2021-01-19,168709.0,India,19,1,2021
2021-01-20,161297.0,India,20,1,2021
2021-01-21,173922.0,India,21,1,2021
2021-01-22,198656.0,India,22,1,2021
2021-01-23,198717.0,India,23,1,2021
2021-01-24,198743.0,India,24,1,2021
2021-01-25,224251.0,India,25,1,2021
2021-01-26,193521.0,India,26,1,2021
2021-01-27,221356.0,India,27,1,2021
2021-01-28,269217.0,India,28,1,2021
2021-01-29,301348.0,India,29,1,2021
2021-01-30,308876.0,India,30,1,2021
2021-01-31,306191.0,India,31,1,2021
2021-02-01,275192.0,India,1,2,2021
2021-02-02,301348.0,India,2,2,2021
2021-02-03,299082.0,India,3,2,2021
2021-02-04,290199.0,India,4,2,2021
2021-02-05,273832.0,India,5,2,2021
2021-02-06,290141.0,India,6,2,2021
2021-02-07,293360.0,India,7,2,2021
2021-02-08,329836.0,India,8,2,2021
2021-02-09,353235.0,India,9,2,2021
2021-02-10,366795.0,India,10,2,2021
2021-02-11,363652.0,India,11,2,2021
2021-02-12,364400.0,India,12,2,2021
2021-02-13,325305.0,India,13,2,2021
2021-02-14,353179.0,India,14,2,2021
2021-02-15,322538.0,India,15,2,2021
2021-02-16,320826.0,India,16,2,2021
2021-02-17,309949.0,India,17,2,2021
2021-02-18,334502.0,India,18,2,2021
2021-02-19,354614.0,India,19,2,2021
2021-02-20,397981.0,India,20,2,2021
2021-02-21,400080.0,India,21,2,2021
2021-02-22,415332.0,India,22,2,2021
2021-02-23,435722.0,India,23,2,2021
2021-02-24,454268.0,India,24,2,2021
2021-02-25,460075.0,India,25,2,2021
2021-02-26,472428.0,India,26,2,2021
2021-02-27,486318.0,India,27,2,2021
2021-02-28,459442.0,India,28,2,2021
2021-03-01,490006.0,India,1,3,2021
2021-03-02,530480.0,India,2,3,2021
2021-03-03,607059.0,India,3,3,2021
2021-03-04,705494.0,India,4,3,2021
2021-03-05,820109.0,India,5,3,2021
2021-03-06,954257.0,India,6,3,2021
2021-03-07,955392.0,India,7,3,2021
2021-03-08,1164942.0,India,8,3,2021
2021-03-09,1249594.0,India,9,3,2021
2021-03-10,1295566.0,India,10,3,2021
2021-03-11,1165631.0,India,11,3,2021
2021-03-12,1245822.0,India,12,3,2021
2021-03-13,1259438.0,India,13,3,2021
2021-03-14,1274147.0,India,14,3,2021
2021-03-15,1419814.0,India,15,3,2021
2021-03-16,1528090.0,India,16,3,2021
2021-03-17,1636892.0,India,17,3,2021
2021-03-18,1882128.0,India,18,3,2021
2021-03-19,1977848.0,India,19,3,2021
2021-03-20,2123633.0,India,20,3,2021
2021-03-21,2165423.0,India,21,3,2021
2021-03-22,2221023.0,India,22,3,2021
2021-03-23,2253821.0,India,23,3,2021
2021-03-24,2286065.0,India,24,3,2021
2021-03-25,2309232.0,India,25,3,2021
2021-03-26,2292340.0,India,26,3,2021
2021-03-27,2237992.0,India,27,3,2021
2021-03-28,2209205.0,India,28,3,2021
2021-03-29,1802680.0,India,29,3,2021
2021-03-30,1744724.0,India,30,3,2021
2021-03-31,1710312.0,India,31,3,2021
2021-04-01,1897814.0,India,1,4,2021
2021-04-02,2134932.0,India,2,4,2021
2021-04-03,2244267.0,India,3,4,2021
2021-04-04,2653533.0,India,4,4,2021
2021-04-05,3142510.0,India,5,4,2021
2021-04-06,3431874.0,India,6,4,2021
2021-04-07,3582968.0,India,7,4,2021
2021-04-08,3649303.0,India,8,4,2021
2021-04-09,3574409.0,India,9,4,2021
2021-04-10,3659357.0,India,10,4,2021
2021-04-11,3631915.0,India,11,4,2021
2021-04-12,3631737.0,India,12,4,2021
2021-04-13,3443158.0,India,13,4,2021
2021-04-14,3470652.0,India,14,4,2021
2021-04-15,3269892.0,India,15,4,2021
2021-04-16,3123212.0,India,16,4,2021
2021-04-17,3003920.0,India,17,4,2021
2021-04-18,2760572.0,India,18,4,2021
2021-04-19,2656575.0,India,19,4,2021
2021-04-20,2458290.0,India,20,4,2021
2021-04-21,2164695.0,India,21,4,2021
2021-04-22,2218728.0,India,22,4,2021
2021-04-23,2137213.0,India,23,4,2021
2021-04-24,2059866.0,India,24,4,2021
2021-04-25,2190372.0,India,25,4,2021
2021-04-26,2199405.0,India,26,4,2021
2021-04-27,2355946.0,India,27,4,2021
2021-04-28,2486755.0,India,28,4,2021
2021-04-29,2359166.0,India,29,4,2021
2021-04-30,2442854.0,India,30,4,2021
2021-05-01,2369239.0,India,1,5,2021
2021-05-02,2146620.0,India,2,5,2021
2021-05-03,1936741.0,India,3,5,2021
2021-05-04,1838788.0,India,4,5,2021
2021-05-05,1839692.0,India,5,5,2021
2021-05-06,1904976.0,India,6,5,2021
2021-05-07,1884556.0,India,7,5,2021
2021-05-08,1981076.0,India,8,5,2021
2021-05-09,2013337.0,India,9,5,2021
2021-05-10,2145255.0,India,10,5,2021
2021-05-11,2301699.0,India,11,5,2021
2021-05-12,2302048.0,India,12,5,2021
2021-05-13,2251178.0,India,13,5,2021
2021-05-14,2065202.0,India,14,5,2021
2021-05-15,2007240.0,India,15,5,2021
2021-05-16,1992305.0,India,16,5,2021
2021-05-17,1816898.0,India,17,5,2021
2021-05-18,1618423.0,India,18,5,2021
2021-05-19,1480718.0,India,19,5,2021
2021-05-20,1360720.0,India,20,5,2021
2021-05-21,1388325.0,India,21,5,2021
2021-05-22,1328280.0,India,22,5,2021
2021-05-23,1352605.0,India,23,5,2021
2021-05-24,1478358.0,India,24,5,2021
2021-05-25,1473597.0,India,25,5,2021
2021-05-26,1716431.0,India,26,5,2021
2021-05-27,1902326.0,India,27,5,2021
2021-05-28,1971730.0,India,28,5,2021
2021-05-29,2320922.0,India,29,5,2021
2021-05-30,2420840.0,India,30,5,2021
2021-05-31,2326312.0,India,31,5,2021
2021-06-01,2518423.0,India,1,6,2021
2021-06-02,2464650.0,India,2,6,2021
2021-06-03,2448745.0,India,3,6,2021
2021-06-04,2920138.0,India,4,6,2021
2021-06-05,2640313.0,India,5,6,2021
2021-06-06,2767989.0,India,6,6,2021
2021-06-07,2862965.0,India,7,6,2021
2021-06-08,2935027.0,India,8,6,2021
2021-06-09,3025477.0,India,9,6,2021
2021-06-10,3133931.0,India,10,6,2021
2021-06-11,2870782.0,India,11,6,2021
2021-06-12,2945275.0,India,12,6,2021
2021-06-13,3055624.0,India,13,6,2021
2021-06-14,3181387.0,India,14,6,2021
2021-06-15,3089205.0,India,15,6,2021
2021-06-16,3067056.0,India,16,6,2021
2021-06-17,3241192.0,India,17,6,2021
2021-06-18,3236100.0,India,18,6,2021
2021-06-19,3531464.0,India,19,6,2021
2021-06-20,3550883.0,India,20,6,2021
2021-06-21,4364797.0,India,21,6,2021
2021-06-22,4935727.0,India,22,6,2021
2021-06-23,5006348.0,India,23,6,2021
2021-06-24,5297682.0,India,24,6,2021
2021-06-25,5757941.0,India,25,6,2021
2021-06-26,6276153.0,India,26,6,2021
2021-06-27,6249116.0,India,27,6,2021
2021-06-28,5444234.0,India,28,6,2021
2021-06-29,5366922.0,India,29,6,2021
2021-06-30,5112543.0,India,30,6,2021
2021-07-01,4955375.0,India,1,7,2021
2021-07-02,4144324.0,India,2,7,2021
2021-07-03,4208458.0,India,3,7,2021
2021-07-04,4192591.0,India,4,7,2021
2021-07-05,4257988.0,India,5,7,2021
2021-07-06,3840533.0,India,6,7,2021
2021-07-07,4130375.0,India,7,7,2021
2021-07-08,4892796.0,India,8,7,2021
2021-07-09,5262873.0,India,9,7,2021
2021-07-10,4533142.0,India,10,7,2021
2021-07-11,4281993.0,India,11,7,2021
2021-07-12,4319736.0,India,12,7,2021
2021-07-13,4770041.0,India,13,7,2021
2021-07-14,4752818.0,India,14,7,2021
2021-07-15,3764649.0,India,15,7,2021
2021-07-16,3883425.0,India,16,7,2021
2021-07-17,4128447.0,India,17,7,2021
2021-07-18,4433794.0,India,18,7,2021
2021-07-19,4339822.0,India,19,7,2021
2021-07-20,3967789.0,India,20,7,2021
2021-07-21,3787237.0,India,21,7,2021
2021-07-22,4010466.0,India,22,7,2021
2021-07-23,4026626.0,India,23,7,2021
2021-07-24,4031307.0,India,24,7,2021
2021-07-25,3829563.0,India,25,7,2021
2021-07-26,4295142.0,India,26,7,2021
2021-07-27,4383458.0,India,27,7,2021
2021-07-28,4693587.0,India,28,7,2021
2021-07-29,4659532.0,India,29,7,2021
2021-07-30,4805174.0,India,30,7,2021
2021-07-31,4817171.0,India,31,7,2021
2021-08-01,5289663.0,India,1,8,2021
