Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Andhra Pradesh, 31-01-2016, M,17.91,20626291,62.67
Andhra Pradesh, 29-02-2016, M,9.98,19334918,53.5
Andhra Pradesh, 31-03-2016, M,10.72,19646970,54.73
Andhra Pradesh, 30-04-2016, M,5.51,18929583,49.76
Andhra Pradesh, 31-05-2016, M,6.29,21163390,56.02
Andhra Pradesh, 30-06-2016, M,4.51,18431598,47.81
Andhra Pradesh, 31-07-2016, M,4.87,19486726,50.67
Andhra Pradesh, 31-08-2016, M,4.03,18826519,48.45
Andhra Pradesh, 30-09-2016, M,7.6,19863483,53.02
Andhra Pradesh, 31-10-2016, M,10.06,19151488,52.44
Andhra Pradesh, 30-11-2016, M,5.23,19046358,49.43
Andhra Pradesh, 31-12-2016, M,4.64,18235985,46.97
Andhra Pradesh, 31-01-2017, M,5.85,19480036,50.74
Andhra Pradesh, 28-02-2017, M,4.75,18231391,46.88
Andhra Pradesh, 31-03-2017, M,3.06,18418217,46.47
Andhra Pradesh, 30-04-2017, M,3.52,18173679,46.01
Andhra Pradesh, 31-05-2017, M,2.3,17992099,44.91
Andhra Pradesh, 30-06-2017, M,3.65,17724207,44.8
Andhra Pradesh, 31-07-2017, M,2.66,17953658,44.85
Andhra Pradesh, 31-08-2017, M,3.43,17774825,44.7
Andhra Pradesh, 30-09-2017, M,6.59,18595636,48.28
Andhra Pradesh, 31-10-2017, M,3.51,17233209,43.25
Andhra Pradesh, 30-11-2017, M,3.32,18182263,45.48
Andhra Pradesh, 31-12-2017, M,4.01,18593687,46.77
Andhra Pradesh, 31-01-2018, M,5.79,17947085,45.93
Andhra Pradesh, 28-02-2018, M,3.97,17568645,44.06
Andhra Pradesh, 31-03-2018, M,4.22,17247729,43.3
Andhra Pradesh, 30-04-2018, M,3.65,17084469,42.58
Andhra Pradesh, 31-05-2018, M,4.01,17078661,42.66
Andhra Pradesh, 30-06-2018, M,4.51,16524370,41.44
Andhra Pradesh, 31-07-2018, M,5.25,17438268,44.01
Andhra Pradesh, 31-08-2018, M,4.33,17247277,43.05
Andhra Pradesh, 30-09-2018, M,4.88,17200185,43.11
Andhra Pradesh, 31-10-2018, M,5.56,15617337,39.37
Andhra Pradesh, 30-11-2018, M,5.24,16856909,42.29
Andhra Pradesh, 31-12-2018, M,4.2,17094902,42.37
Andhra Pradesh, 31-01-2019, M,5.21,17525876,43.83
Andhra Pradesh, 28-02-2019, M,5.76,15705618,39.46
Andhra Pradesh, 31-03-2019, M,5.17,16300531,40.64
Andhra Pradesh, 30-04-2019, M,4.02,17501776,43.05
Andhra Pradesh, 31-05-2019, M,4.36,16787801,41.38
Andhra Pradesh, 30-06-2019, M,3.27,16580510,40.35
Andhra Pradesh, 31-07-2019, M,4.29,16744148,41.12
Andhra Pradesh, 31-08-2019, M,3.68,17028869,41.5
Andhra Pradesh, 30-09-2019, M,5.41,16990761,42.11
Andhra Pradesh, 31-10-2019, M,3.86,16791781,40.88
Andhra Pradesh, 30-11-2019, M,5.14,16066455,39.59
Andhra Pradesh, 31-12-2019, M,5.39,17442360,43.03
Andhra Pradesh, 31-01-2020, M,5.48,16635535,41.02
Andhra Pradesh, 29-02-2020, M,5.83,16545652,40.9
Andhra Pradesh, 31-03-2020, M,5.79,15881197,39.18
Andhra Pradesh, 30-04-2020, M,20.51,11336911,33.1
Andhra Pradesh, 31-05-2020, M,17.43,12988845,36.46
Andhra Pradesh, 30-06-2020, M,3.31,19805400,47.41
Andhra Pradesh, 31-07-2020, M,8.34,15431615,38.91
Andhra Pradesh, 31-08-2020, M,6.96,15251776,37.83
Andhra Pradesh, 30-09-2020, M,6.4,15220312,37.47
Andhra Pradesh, 31-10-2020, M,6.64,15140379,37.32
Andhra Pradesh, 30-11-2020, M,6.02,15478231,37.84
Andhra Pradesh, 31-12-2020, M,6.71,15854431,39
Andhra Pradesh, 31-01-2021, M,4.48,16516412,39.62
Andhra Pradesh, 28-02-2021, M,3.74,16736552,39.78
Andhra Pradesh, 31-03-2021, M,5.88,15752408,38.24
Andhra Pradesh, 30-04-2021, M,4.91,15834266,37.99
Andhra Pradesh, 31-05-2021, M,13.47,15087562,39.72
Andhra Pradesh, 30-06-2021, M,7.51,15549755,38.25
Assam, 31-01-2016, M,5.89,11359949,51.38
Assam, 29-02-2016, M,12.68,11099822,54.01
Assam, 31-03-2016, M,4.31,10185318,45.13
Assam, 30-04-2016, M,0.65,10034857,42.74
Assam, 31-05-2016, M,3.78,10742464,47.15
Assam, 30-06-2016, M,10.23,10091196,47.38
Assam, 31-07-2016, M,13.02,9405383,45.49
Assam, 31-08-2016, M,8.33,10324130,47.28
Assam, 30-09-2016, M,8.28,10348445,47.27
Assam, 31-10-2016, M,7.58,9638230,43.61
Assam, 30-11-2016, M,10.43,9526435,44.38
Assam, 31-12-2016, M,3.88,10967264,47.52
Assam, 31-01-2017, M,8,10796302,48.78
Assam, 28-02-2017, M,6.79,9690200,43.13
Assam, 31-03-2017, M,7.11,9788608,43.63
Assam, 30-04-2017, M,2,10404676,43.87
Assam, 31-05-2017, M,12.79,11040428,52.21
Assam, 30-06-2017, M,10.88,10161665,46.93
Assam, 31-07-2017, M,8.61,10097422,45.39
Assam, 31-08-2017, M,4.8,10599812,45.65
Assam, 30-09-2017, M,8.69,11506550,51.56
Assam, 31-10-2017, M,10,10405814,47.21
Assam, 30-11-2017, M,10.3,10249424,46.57
Assam, 31-12-2017, M,7.03,10024090,43.85
Assam, 31-01-2018, M,7.42,11046486,48.43
Assam, 28-02-2018, M,9.76,10041204,45.08
Assam, 31-03-2018, M,5.85,10509903,45.14
Assam, 30-04-2018, M,3.58,11071967,46.34
Assam, 31-05-2018, M,6.29,12034894,51.72
Assam, 30-06-2018, M,8.57,10215989,44.91
Assam, 31-07-2018, M,7.85,10502434,45.72
Assam, 31-08-2018, M,3.9,11098521,46.23
Assam, 30-09-2018, M,11.19,11507942,51.77
Assam, 31-10-2018, M,5.33,10063961,42.39
Assam, 30-11-2018, M,8.18,10898176,47.23
Assam, 31-12-2018, M,6.11,11162155,47.22
Assam, 31-01-2019, M,5.11,12518130,52.28
Assam, 28-02-2019, M,5.36,10314086,43.12
Assam, 31-03-2019, M,6.78,11068934,46.88
Assam, 30-04-2019, M,5,11349197,47.07
Assam, 31-05-2019, M,4.75,13421041,55.41
Assam, 30-06-2019, M,5.87,10570564,44.07
Assam, 31-07-2019, M,4.1,11651371,47.59
Assam, 31-08-2019, M,6.49,10887620,45.51
Assam, 30-09-2019, M,5.07,13044829,53.61
Assam, 31-10-2019, M,5.76,9991084,41.27
Assam, 30-11-2019, M,4.91,11333409,46.31
Assam, 31-12-2019, M,0.88,10209749,39.95
Assam, 31-01-2020, M,4.66,13051904,52.98
Assam, 29-02-2020, M,4.41,10088268,40.77
Assam, 31-03-2020, M,4.77,11542888,46.73
Assam, 30-04-2020, M,11.06,6830817,29.55
Assam, 31-05-2020, M,9.55,11367897,48.26
Assam, 30-06-2020, M,0.6,9095944,35.07
Assam, 31-07-2020, M,3.77,10286757,40.88
Assam, 31-08-2020, M,5.53,9781310,39.52
Assam, 30-09-2020, M,1.19,14107641,54.38
Assam, 31-10-2020, M,3.02,11949329,46.84
Assam, 30-11-2020, M,3.98,10901371,43.07
Assam, 31-12-2020, M,7.64,10482404,42.97
Assam, 31-01-2021, M,1.53,13177962,50.57
Assam, 28-02-2021, M,1.65,11283161,43.27
Assam, 31-03-2021, M,1.06,11122329,42.31
Assam, 30-04-2021, M,0.19,10349575,38.95
Assam, 31-05-2021, M,0.05,15248170,57.19
Assam, 30-06-2021, M,0.62,10234141,38.53
Bihar, 31-01-2016, M,4.36,28057185,41.53
Bihar, 29-02-2016, M,6.71,30498497,46.19
Bihar, 31-03-2016, M,3.46,27221171,39.75
Bihar, 30-04-2016, M,6.38,29658522,44.57
Bihar, 31-05-2016, M,14.02,28478123,46.5
Bihar, 30-06-2016, M,9.85,30522107,47.43
Bihar, 31-07-2016, M,6.18,27690621,41.26
Bihar, 31-08-2016, M,13,29464621,47.24
Bihar, 30-09-2016, M,15.07,27765395,45.5
Bihar, 31-10-2016, M,6.96,28984634,43.27
Bihar, 30-11-2016, M,6.85,28112295,41.82
Bihar, 31-12-2016, M,4.63,29200982,42.34
Bihar, 31-01-2017, M,5.52,27676967,40.42
Bihar, 28-02-2017, M,3.96,29083045,41.7
Bihar, 31-03-2017, M,2.86,27673248,39.15
Bihar, 30-04-2017, M,1.57,28233171,39.33
Bihar, 31-05-2017, M,2.53,29318241,41.16
Bihar, 30-06-2017, M,1.94,29629790,41.26
Bihar, 31-07-2017, M,1.97,27760196,38.58
Bihar, 31-08-2017, M,3.57,27711437,39.06
Bihar, 30-09-2017, M,5.1,28123701,40.2
Bihar, 31-10-2017, M,5.04,28631228,40.81
Bihar, 30-11-2017, M,4.91,28158520,40
Bihar, 31-12-2017, M,5.31,28012830,39.87
Bihar, 31-01-2018, M,4.07,29478932,41.33
Bihar, 28-02-2018, M,7.05,28747971,41.51
Bihar, 31-03-2018, M,10.21,27605523,41.18
Bihar, 30-04-2018, M,7.97,27392078,39.78
Bihar, 31-05-2018, M,5.07,28900697,40.6
Bihar, 30-06-2018, M,7.6,28041995,40.39
Bihar, 31-07-2018, M,9.26,26680623,39.04
Bihar, 31-08-2018, M,9.27,26215273,38.28
Bihar, 30-09-2018, M,5.41,28043216,39.2
Bihar, 31-10-2018, M,9.56,26666955,38.9
Bihar, 30-11-2018, M,11.23,25928392,38.45
Bihar, 31-12-2018, M,8.14,25722354,36.78
Bihar, 31-01-2019, M,8.69,27289779,39.17
Bihar, 28-02-2019, M,11.47,26749981,39.53
Bihar, 31-03-2019, M,11.29,26382051,38.82
Bihar, 30-04-2019, M,12.19,25018247,37.11
Bihar, 31-05-2019, M,10.58,27351666,39.76
Bihar, 30-06-2019, M,10.58,27346572,39.66
Bihar, 31-07-2019, M,13.8,26308621,39.5
Bihar, 31-08-2019, M,11.84,25254973,36.99
Bihar, 30-09-2019, M,10.1,26983170,38.68
Bihar, 31-10-2019, M,12.66,27226568,40.08
Bihar, 30-11-2019, M,13.07,25527075,37.68
Bihar, 31-12-2019, M,10.73,25892391,37.13
Bihar, 31-01-2020, M,10.61,26397671,37.72
Bihar, 29-02-2020, M,10.29,26281655,37.35
Bihar, 31-03-2020, M,15.43,25717519,38.69
Bihar, 30-04-2020, M,46.64,16046236,38.17
Bihar, 31-05-2020, M,45.96,16280203,38.16
Bihar, 30-06-2020, M,17.82,23963933,36.86
Bihar, 31-07-2020, M,12.79,24989370,36.14
Bihar, 31-08-2020, M,13.44,23795534,34.59
Bihar, 30-09-2020, M,11.91,26902907,38.35
Bihar, 31-10-2020, M,9.82,25693252,35.7
Bihar, 30-11-2020, M,9.98,26021204,36.14
Bihar, 31-12-2020, M,12.65,24393328,34.84
Bihar, 31-01-2021, M,10.5,28016910,38.97
Bihar, 28-02-2021, M,11.47,25685968,36.05
Bihar, 31-03-2021, M,14.6,25734604,37.36
Bihar, 30-04-2021, M,11.54,24727431,34.58
Bihar, 31-05-2021, M,13.84,27337099,39.17
Bihar, 30-06-2021, M,10.5,25380747,34.94
Chhattisgarh, 31-01-2016, M,2.38,8062186,41.83
Chhattisgarh, 29-02-2016, M,4.9,8160104,43.37
Chhattisgarh, 31-03-2016, M,3.07,8964452,46.64
Chhattisgarh, 30-04-2016, M,3.09,8310606,43.15
Chhattisgarh, 31-05-2016, M,5.41,8584637,45.56
Chhattisgarh, 30-06-2016, M,4.6,8525708,44.77
Chhattisgarh, 31-07-2016, M,4.53,9384490,49.13
Chhattisgarh, 31-08-2016, M,3.3,8555054,44.12
Chhattisgarh, 30-09-2016, M,7.9,9389548,50.73
Chhattisgarh, 31-10-2016, M,3.81,10395187,53.65
Chhattisgarh, 30-11-2016, M,4.52,9938956,51.56
Chhattisgarh, 31-12-2016, M,4.84,8514136,44.22
Chhattisgarh, 31-01-2017, M,4.13,8588739,44.18
Chhattisgarh, 28-02-2017, M,2.8,9516327,48.18
Chhattisgarh, 31-03-2017, M,3.06,9830840,49.79
Chhattisgarh, 30-04-2017, M,4.51,8828474,45.29
Chhattisgarh, 31-05-2017, M,4.5,8703496,44.55
Chhattisgarh, 30-06-2017, M,2.04,8708894,43.36
Chhattisgarh, 31-07-2017, M,1.24,9730235,47.94
Chhattisgarh, 31-08-2017, M,4,8863490,44.83
Chhattisgarh, 30-09-2017, M,4.75,8759506,44.55
Chhattisgarh, 31-10-2017, M,3.02,9049363,45.1
Chhattisgarh, 30-11-2017, M,3.28,9329292,46.52
Chhattisgarh, 31-12-2017, M,1.54,9205573,44.99
Chhattisgarh, 31-01-2018, M,6.72,8551446,44.01
Chhattisgarh, 28-02-2018, M,2.61,8316869,40.92
Chhattisgarh, 31-03-2018, M,3.2,8870407,43.81
Chhattisgarh, 30-04-2018, M,2.06,8529349,41.54
Chhattisgarh, 31-05-2018, M,4.34,8029058,39.95
Chhattisgarh, 30-06-2018, M,2.44,8107650,39.46
Chhattisgarh, 31-07-2018, M,3.38,8543548,41.89
Chhattisgarh, 31-08-2018, M,2.59,8405219,40.79
Chhattisgarh, 30-09-2018, M,22.24,8264838,50.13
Chhattisgarh, 31-10-2018, M,12.68,8502477,45.82
Chhattisgarh, 30-11-2018, M,5.51,8538469,42.43
Chhattisgarh, 31-12-2018, M,4.73,8258913,40.61
Chhattisgarh, 31-01-2019, M,7.87,8346885,42.35
Chhattisgarh, 28-02-2019, M,7.29,8719835,43.88
Chhattisgarh, 31-03-2019, M,3.71,9034510,43.67
Chhattisgarh, 30-04-2019, M,3.44,8596924,41.35
Chhattisgarh, 31-05-2019, M,9.8,8482147,43.57
Chhattisgarh, 30-06-2019, M,8.06,8800644,44.26
Chhattisgarh, 31-07-2019, M,5.48,9039059,44.11
Chhattisgarh, 31-08-2019, M,5.08,9000093,43.64
Chhattisgarh, 30-09-2019, M,8.63,8800594,44.23
Chhattisgarh, 31-10-2019, M,7.8,9340935,46.42
Chhattisgarh, 30-11-2019, M,4.23,9284214,44.32
Chhattisgarh, 31-12-2019, M,5.44,8984824,43.34
Chhattisgarh, 31-01-2020, M,9.65,8552172,43.08
Chhattisgarh, 29-02-2020, M,8.38,9195114,45.58
Chhattisgarh, 31-03-2020, M,7.54,9302317,45.59
Chhattisgarh, 30-04-2020, M,3.41,7600448,35.58
Chhattisgarh, 31-05-2020, M,10.5,6991217,35.23
Chhattisgarh, 30-06-2020, M,14.23,7332807,38.48
Chhattisgarh, 31-07-2020, M,10.27,8620294,43.14
Chhattisgarh, 31-08-2020, M,5.63,9050422,42.97
Chhattisgarh, 30-09-2020, M,1.99,9158315,41.77
Chhattisgarh, 31-10-2020, M,6.66,8589223,41.05
Chhattisgarh, 30-11-2020, M,3.38,8705350,40.1
Chhattisgarh, 31-12-2020, M,7.2,8391157,40.15
Chhattisgarh, 31-01-2021, M,6.38,8828785,41.78
Chhattisgarh, 28-02-2021, M,5.99,8882237,41.77
Chhattisgarh, 31-03-2021, M,2.69,8580167,38.89
Chhattisgarh, 30-04-2021, M,3.04,9463460,42.96
Chhattisgarh, 31-05-2021, M,8.26,9242354,44.24
Chhattisgarh, 30-06-2021, M,2.57,9485491,42.66
Delhi, 31-01-2016, M,10.61,5482637,44
Delhi, 29-02-2016, M,10.84,4829996,38.78
Delhi, 31-03-2016, M,11.05,5513829,44.26
Delhi, 30-04-2016, M,6.3,5954845,45.28
Delhi, 31-05-2016, M,17.3,5523948,47.48
Delhi, 30-06-2016, M,15.68,5029744,42.3
Delhi, 31-07-2016, M,14.31,5328709,44
Delhi, 31-08-2016, M,6.85,5926344,44.9
Delhi, 30-09-2016, M,7.75,5430342,41.45
Delhi, 31-10-2016, M,11.55,5189367,41.21
Delhi, 30-11-2016, M,11.5,5522477,43.73
Delhi, 31-12-2016, M,11.32,5667635,44.68
Delhi, 31-01-2017, M,10.76,5283788,41.3
Delhi, 28-02-2017, M,12.09,5197662,41.15
Delhi, 31-03-2017, M,10.58,5166584,40.12
Delhi, 30-04-2017, M,7.42,5623114,42.07
Delhi, 31-05-2017, M,5.28,5362886,39.13
Delhi, 30-06-2017, M,3.76,5287746,37.88
Delhi, 31-07-2017, M,3.19,5159575,36.66
Delhi, 31-08-2017, M,6.8,5333841,39.27
Delhi, 30-09-2017, M,4.45,5108559,36.6
Delhi, 31-10-2017, M,3.67,5543827,39.3
Delhi, 30-11-2017, M,2.11,5325547,37.07
Delhi, 31-12-2017, M,5.61,5466654,39.37
Delhi, 31-01-2018, M,2.24,5473606,37.97
Delhi, 28-02-2018, M,1.57,5601495,38.5
Delhi, 31-03-2018, M,3,5137138,35.75
Delhi, 30-04-2018, M,3.6,5401058,37.73
Delhi, 31-05-2018, M,8.75,5349651,39.38
Delhi, 30-06-2018, M,8.99,5380924,39.62
Delhi, 31-07-2018, M,7.51,5297063,38.29
Delhi, 31-08-2018, M,12.32,5481518,41.7
Delhi, 30-09-2018, M,12.49,5709710,43.41
Delhi, 31-10-2018, M,10,5348642,39.45
Delhi, 30-11-2018, M,12.04,5551045,41.79
Delhi, 31-12-2018, M,9.59,5900135,43.11
Delhi, 31-01-2019, M,12.18,6006259,45.07
Delhi, 28-02-2019, M,11.56,5456349,40.57
Delhi, 31-03-2019, M,13.05,5471499,41.28
Delhi, 30-04-2019, M,8.37,5615928,40.11
Delhi, 31-05-2019, M,12.32,5925960,44.12
Delhi, 30-06-2019, M,12.67,5699248,42.5
Delhi, 31-07-2019, M,14.58,5559698,42.28
Delhi, 31-08-2019, M,13.61,5687918,42.67
Delhi, 30-09-2019, M,20.38,5808310,47.16
Delhi, 31-10-2019, M,12.49,6179875,45.54
Delhi, 30-11-2019, M,15.96,5618368,43.01
Delhi, 31-12-2019, M,11.23,5864011,42.4
Delhi, 31-01-2020, M,22.23,5805284,47.79
Delhi, 29-02-2020, M,14.84,5856307,43.92
Delhi, 31-03-2020, M,17.04,5553805,42.65
Delhi, 30-04-2020, M,16.68,3119274,23.8
Delhi, 31-05-2020, M,42.27,2632404,28.91
Delhi, 30-06-2020, M,18.19,4418914,34.17
Delhi, 31-07-2020, M,20.3,4291053,33.97
Delhi, 31-08-2020, M,13.79,4850107,35.41
Delhi, 30-09-2020, M,12.53,4958373,35.59
Delhi, 31-10-2020, M,6.27,4842698,32.36
Delhi, 30-11-2020, M,6.57,5058039,33.83
Delhi, 31-12-2020, M,7.56,5341068,36.01
Delhi, 31-01-2021, M,12.51,5157974,36.65
Delhi, 28-02-2021, M,7.99,5176344,34.9
Delhi, 31-03-2021, M,9.41,5123006,35
Delhi, 30-04-2021, M,27.32,4160172,35.33
Delhi, 31-05-2021, M,45.56,2879334,32.56
Delhi, 30-06-2021, M,8.8,5089957,34.28
Goa, 31-01-2016, M,12.31,597685,56.13
Goa, 29-02-2016, M,10.75,582685,53.71
Goa, 31-03-2016, M,5.11,615303,53.29
Goa, 31-05-2016, M,16.04,590215,57.64
Goa, 30-06-2016, M,13.91,586814,55.83
Goa, 31-07-2016, M,5.25,623983,53.88
Goa, 31-08-2016, M,10.74,595317,54.51
Goa, 30-09-2016, M,13.28,616178,58.01
Goa, 31-10-2016, M,12,589874,54.66
Goa, 30-11-2016, M,9.73,603695,54.48
Goa, 31-12-2016, M,8.34,608771,54.04
Goa, 31-01-2017, M,12.24,620518,57.46
Goa, 28-02-2017, M,12.38,592760,54.93
Goa, 31-03-2017, M,8.55,603215,53.49
Goa, 30-04-2017, M,5.89,589160,50.72
Goa, 31-05-2017, M,9.89,622399,55.9
Goa, 30-06-2017, M,9.27,584881,52.11
Goa, 31-07-2017, M,3.95,590560,49.65
Goa, 31-08-2017, M,7.65,593907,51.87
Goa, 30-09-2017, M,6.67,602667,52.03
Goa, 31-10-2017, M,8.6,571857,50.35
Goa, 30-11-2017, M,2.83,588479,48.69
Goa, 31-12-2017, M,4.49,615914,51.78
Goa, 31-01-2018, M,4.97,567631,47.91
Goa, 28-02-2018, M,6.35,543703,46.53
Goa, 31-03-2018, M,3.33,594836,49.25
Goa, 30-04-2018, M,6,597612,50.83
Goa, 31-05-2018, M,3.25,583684,48.18
Goa, 30-06-2018, M,4.84,544876,45.68
Goa, 31-07-2018, M,3.8,579230,47.99
Goa, 31-08-2018, M,6.82,578404,49.41
Goa, 30-09-2018, M,4.11,563538,46.73
Goa, 31-10-2018, M,5.07,540168,45.19
Goa, 30-11-2018, M,2.14,552106,44.76
Goa, 31-12-2018, M,7.17,574795,49.07
Goa, 31-01-2019, M,7.45,481283,41.17
Goa, 28-02-2019, M,7.08,475535,40.47
Goa, 31-03-2019, M,8.87,463645,40.19
Goa, 30-04-2019, M,9.3,509668,44.34
Goa, 31-05-2019, M,2.82,444196,36.03
Goa, 30-06-2019, M,10.66,474485,41.81
Goa, 31-07-2019, M,11.8,447804,39.93
Goa, 31-08-2019, M,3.67,426879,34.81
Goa, 30-09-2019, M,3.53,458583,37.3
Goa, 31-10-2019, M,10.44,467704,40.93
Goa, 30-11-2019, M,24.66,431101,44.8
Goa, 31-12-2019, M,11.8,465309,41.26
Goa, 31-01-2020, M,8.89,416750,35.73
Goa, 29-02-2020, M,2.81,478068,38.38
Goa, 31-03-2020, M,5.25,411761,33.88
Goa, 30-04-2020, M,13.31,500614,44.97
Goa, 31-05-2020, M,21.25,378244,37.36
Goa, 30-06-2020, M,9.96,489111,42.21
Goa, 31-07-2020, M,17.07,458876,42.94
Goa, 31-08-2020, M,16.21,473016,43.76
Goa, 30-09-2020, M,15.38,425004,38.89
Goa, 31-10-2020, M,10.95,388583,33.75
Goa, 30-11-2020, M,15.88,376472,34.58
Goa, 31-12-2020, M,13.2,439150,39.05
Goa, 31-01-2021, M,16.01,424096,38.93
Goa, 28-02-2021, M,20.58,438421,42.51
Goa, 31-03-2021, M,22.08,393170,38.81
Goa, 30-04-2021, M,25.73,366499,37.92
Goa, 31-05-2021, M,20.58,451417,43.62
Goa, 30-06-2021, M,17.74,404381,37.69
Gujarat, 31-01-2016, M,3.44,21488124,46.35
Gujarat, 29-02-2016, M,4.12,21120270,45.8
Gujarat, 31-03-2016, M,4.07,21774339,47.1
Gujarat, 30-04-2016, M,3.3,22470289,48.13
Gujarat, 31-05-2016, M,2.63,23071104,48.98
Gujarat, 30-06-2016, M,2.92,21713869,46.15
Gujarat, 31-07-2016, M,2.68,22310023,47.21
Gujarat, 31-08-2016, M,1.38,21965447,45.78
Gujarat, 30-09-2016, M,2,22685230,47.48
Gujarat, 31-10-2016, M,1.28,22966016,47.63
Gujarat, 30-11-2016, M,2.2,22639797,47.3
Gujarat, 31-12-2016, M,5.04,21905325,47.04
Gujarat, 31-01-2017, M,1.98,22728175,47.19
Gujarat, 28-02-2017, M,1.33,22336849,45.99
Gujarat, 31-03-2017, M,4.28,21651839,45.87
Gujarat, 30-04-2017, M,3.66,21957451,46.13
Gujarat, 31-05-2017, M,1.95,21823962,44.96
Gujarat, 30-06-2017, M,2.86,22108034,45.89
Gujarat, 31-07-2017, M,3.55,21408478,44.66
Gujarat, 31-08-2017, M,2.57,22329321,46.02
Gujarat, 30-09-2017, M,3.87,21125763,44.05
Gujarat, 31-10-2017, M,5.4,21666730,45.82
Gujarat, 30-11-2017, M,2.8,22428715,46.08
Gujarat, 31-12-2017, M,1.36,22667259,45.79
Gujarat, 31-01-2018, M,2.93,21445588,43.94
Gujarat, 28-02-2018, M,9.53,21756349,47.74
Gujarat, 31-03-2018, M,4.73,22601847,47.01
Gujarat, 30-04-2018, M,4.98,22884860,47.63
Gujarat, 31-05-2018, M,5.06,20769407,43.18
Gujarat, 30-06-2018, M,6.47,21502364,45.29
Gujarat, 31-07-2018, M,4.54,22738160,46.83
Gujarat, 31-08-2018, M,3.58,23304754,47.43
Gujarat, 30-09-2018, M,4.34,22015881,45.08
Gujarat, 31-10-2018, M,7.4,22389433,47.26
Gujarat, 30-11-2018, M,5.09,23778766,48.88
Gujarat, 31-12-2018, M,3.66,23705055,47.91
Gujarat, 31-01-2019, M,5.8,23754560,49
Gujarat, 28-02-2019, M,5.54,23789056,48.86
Gujarat, 31-03-2019, M,4.53,24364847,49.41
Gujarat, 30-04-2019, M,3,24177961,48.16
Gujarat, 31-05-2019, M,3.38,23641286,47.19
Gujarat, 30-06-2019, M,5.45,23344240,47.52
Gujarat, 31-07-2019, M,4.81,24155108,48.75
Gujarat, 31-08-2019, M,3.92,23735498,47.36
Gujarat, 30-09-2019, M,6.15,22889629,46.67
Gujarat, 31-10-2019, M,5.15,24302741,48.93
Gujarat, 30-11-2019, M,5.86,24383939,49.37
Gujarat, 31-12-2019, M,4.42,24050638,47.87
Gujarat, 31-01-2020, M,5.54,24126346,48.49
Gujarat, 29-02-2020, M,6.38,24757795,50.11
Gujarat, 31-03-2020, M,6.66,23566641,47.75
Gujarat, 30-04-2020, M,18.71,15288878,35.5
Gujarat, 31-05-2020, M,12.11,17836936,38.23
Gujarat, 30-06-2020, M,3.2,23657055,45.96
Gujarat, 31-07-2020, M,1.84,24276120,46.41
Gujarat, 31-08-2020, M,1.87,22817232,43.55
Gujarat, 30-09-2020, M,3.41,24978668,48.34
Gujarat, 31-10-2020, M,4.03,25970259,50.49
Gujarat, 30-11-2020, M,3.86,24161076,46.79
Gujarat, 31-12-2020, M,3.05,21483898,41.18
Gujarat, 31-01-2021, M,3.19,24009720,46
Gujarat, 28-02-2021, M,3.17,24070070,46.02
Gujarat, 31-03-2021, M,2.16,24357415,46
