Month,Open,High,Low,Close
August-2016,28083.08,28532.25,27627.97,28452.17
September-2016,28459.09,29077.28,27716.78,27865.96
October-2016,27997.29,28477.65,27488.30,27930.21
November-2016,27966.18,28029.80,25717.93,26652.81
December-2016,26756.66,26803.76,25753.74,26626.46
January-2017,26711.15,27980.39,26447.06,27655.96
February-2017,27669.08,29065.31,27590.10,28743.32
March-2017,28849.04,29824.62,28716.21,29620.50
April-2017,29737.73,30184.22,29241.48,29918.40
May-2017,30021.49,31255.28,29804.12,31145.80
June-2017,31117.09,31522.87,30680.66,30921.61
July-2017,31156.04,32672.66,31017.11,32514.94
August-2017,32579.80,32686.48,31128.02,31730.49
September-2017,31769.34,32524.11,31081.83,31283.72
October-2017,31537.81,33340.17,31440.48,33213.13
November-2017,33344.23,33865.95,32683.59,33149.35
December-2017,33247.66,34137.97,32565.16,34056.83
January-2018,34059.99,36443.98,33703.37,35965.02
February-2018,36048.99,36256.83,33482.81,34184.04
March-2018,34141.22,34278.63,32483.84,32968.68
April-2018,33030.87,35213.30,32972.56,35160.36
May-2018,35328.91,35993.53,34302.89,35322.38
June-2018,35373.98,35877.41,34784.68,35423.48
July-2018,35545.22,37644.59,35106.57,37606.58
August-2018,37643.87,38989.65,37128.99,38645.07
September-2018,38915.91,38934.35,35985.63,36227.14
October-2018,36274.25,36616.64,33291.58,34442.05
November-2018,34650.63,36389.22,34303.38,36194.30
December-2018,36396.69,36554.99,34426.29,36068.33
January-2019,36161.80,36701.03,35375.51,36256.69
February-2019,36311.74,37172.18,35287.16,35867.44
March-2019,36018.49,38748.54,35926.94,38672.91
April-2019,38858.88,39487.45,38460.25,39031.55
May-2019,39036.51,40124.96,36956.10,39714.20
June-2019,39806.86,40312.07,38870.96,39394.64
July-2019,39543.73,40032.41,37128.26,37481.12
August-2019,37387.18,37807.55,36102.35,37332.79
September-2019,37181.76,39441.12,35987.80,38667.33
October-2019,38813.48,40392.22,37415.83,40129.05
November-2019,40196.07,41163.79,40014.23,40793.81
December-2019,41072.94,41809.96,40135.37,41253.74
January-2020,41349.36,42273.87,40476.55,40723.49
February-2020,40753.18,41709.30,38219.97,38297.29
March-2020,38910.95,39083.17,25638.90,29468.49
April-2020,29505.33,33887.25,27500.79,33717.62
May-2020,32748.14,32845.48,29968.45,32424.10
June-2020,32906.05,35706.55,32348.10,34915.80
July-2020,35009.59,38617.03,34927.20,37606.89
August-2020,37595.73,40010.17,36911.23,38628.29
September-2020,38754.00,39359.51,36495.98,38067.93
October-2020,38410.20,41048.05,38410.20,39614.07
November-2020,39880.38,44825.37,39334.92,44149.72
December-2020,44435.83,47896.97,44118.10,47751.33
January-2021,47785.28,50184.01,46160.46,46285.77
February-2021,46617.95,52516.76,46433.65,49099.99
March-2021,49747.71,51821.84,48236.35,49509.15
April-2021,49868.53,50375.77,47204.50,48782.36
May-2021,48356.01,52013.22,48028.07,51937.44
June-2021,52067.51,53126.73,51450.58,52482.71
July-2021,52638.50,53290.81,51802.73,52586.84
August-2021,52901.28,54717.24,52804.08,54492.84